CochleariaID	AthalianaID	orthologyEvidence	Athaliana_description
g41149.t1	AT5G49920.1	1-2-1 orthogroup	Note=Octicosapeptide/Phox/Bem1p family protein: conf_class=1: computational_description=Octicosapeptide/Phox/Bem1p family protein: conf_rating=*****: symbol=None: curator_summary=None: 
g41150.t1	AT5G49990.3	within orthogroup BLAST	Note=Xanthine/uracil permease family protein: conf_class=2: computational_description=Xanthine/uracil permease family protein: conf_rating=****: symbol=None: curator_summary=None: 
g41151.t1	AT5G50020.2	1-2-1 orthogroup	Note=DHHC-type zinc finger family protein: computational_description=DHHC-type zinc finger family protein: conf_class=1: conf_rating=*****: symbol=PAT9: curator_summary=None: conf_class=4: conf_rating=***: 
g41152.t1	AT1G43760.1	no orthogroup BLAST	Note=DNAse I-like superfamily protein: conf_class=9: computational_description=DNAse I-like superfamily protein: conf_rating=*: symbol=None: curator_summary=None: 
g41153.t1	AT4G29090.1	no orthogroup BLAST	Note=Ribonuclease H-like superfamily protein: conf_class=1: computational_description=Ribonuclease H-like superfamily protein: conf_rating=*****: symbol=None: curator_summary=None: 
g41154.t1	AT5G50210.1	1-2-1 orthogroup	Note=quinolinate synthase: curator_summary=Encodes an Fe-S binding protein with quinolinate synthase (QS) activity and cysteine desulfurase activator activity. The QS activity was demonstrated by functional complementation of corresponding E. coli mutants and complementation of embryo-lethal phenotypes of the QS homozygous null allele in Arabidopsis. The SufE domain of the protein also stimulates the cysteine desulfurase activity of CpNifS (AT1G08490) in vitro. This protein binds a (4Fe-Su)2+ cluster in its NadA domain and is localized in the chloroplast.: symbol=QS: full_name=quinolinate synthase: computational_description=quinolinate synthase: conf_class=2: conf_rating=****: 
g41155.t1	AT5G50230.1	1-2-1 orthogroup	Note=Transducin/WD40 repeat-like superfamily protein: computational_description=Transducin/WD40 repeat-like superfamily protein: conf_class=2: conf_rating=****: symbol=atg16: curator_summary=autophagy-related (ATG) gene: 
g41156.t1	AT2G40410.2	1-2-1 orthogroup	Note=Staphylococcal nuclease homologue: curator_summary=Encodes a Ca(2+)-dependent nuclease that can degrade both DNA and RNA.: symbol=AtCaN2: full_name=Ca2+-dependent nuclease: computational_description=Ca(2+)-dependent nuclease family protein: conf_class=2: conf_rating=****: 
g41157.t1	AT5G50480.1	no orthogroup BLAST	Note=nuclear factor Y, subunit C6: symbol=NF-YC6: full_name=nuclear factor Y, subunit C6: computational_description=nuclear factor Y, subunit C6: conf_class=1: conf_rating=*****: curator_summary=None: 
g41158.t1	AT5G50850.1	1-2-1 orthogroup	Note=Transketolase family protein: symbol=MAB1: full_name=MACCI-BOU: computational_description=Transketolase family protein: conf_class=2: conf_rating=****: curator_summary=None: 
g41159.t1	AT5G51170.1	1-2-1 orthogroup	Note=None: computational_description=U6 snRNA phosphodiesterase-like protein: conf_class=2: conf_rating=****: symbol=AtUSB1: curator_summary=None: conf_class=3: 
g41160.t1	AT5G51270.1	1-2-1 orthogroup	Note=U-box domain-containing protein kinase family protein: computational_description=U-box domain-containing protein kinase family protein: conf_class=6: conf_rating=**: symbol=PUB53: curator_summary=Plant U-box type E3 ubiquitin ligase (PUB).: 
g41161.t1	AT5G51290.1	1-2-1 orthogroup	Note=Diacylglycerol kinase family protein: curator_summary=Encodes a ceramide kinase that plays a role in modulating cell death.: symbol=ACD5: full_name=ACCELERATED CELL DEATH 5: computational_description=Diacylglycerol kinase family protein: conf_class=2: conf_rating=****: 
g41162.t1	AT5G51400.1	1-2-1 orthogroup	Note=PLAC8 family protein: conf_class=2: computational_description=PLAC8 family protein: conf_rating=****: symbol=None: curator_summary=None: 
g41163.t1	AT5G51430.1	1-2-1 orthogroup	Note=conserved oligomeric Golgi complex component-related / COG complex component-related: curator_summary=Encodes a protein that is homologous to Cog7, a subunit of the conserved oligomeric Golgi (COG) complex, which is required for the normal morphology and function of the Golgi apparatus. It is likely to be involved in transport or retention of Golgi-localized proteins and in maintenance of Golgi morphology.: symbol=EYE: full_name=EMBRYO YELLOW: computational_description=conserved oligomeric Golgi complex component-related / COG complex component-like protein: conf_class=2: conf_rating=****: 
g41164.t1	AT5G51460.3	1-2-1 orthogroup	Note=Haloacid dehalogenase-like hydrolase (HAD) superfamily protein: curator_summary=homologous to the C-terminal part of microbial trehalose-6-phosphate phosphatases: symbol=ATTPPA: computational_description=Haloacid dehalogenase-like hydrolase (HAD) superfamily protein: conf_class=1: conf_rating=*****: conf_class=2: conf_rating=****: 
g41165.t1	AT5G51480.1	within orthogroup BLAST	Note=SKU5  similar 2: symbol=SKS2: full_name=SKU5  similar 2: computational_description=SKU5 similar 2: conf_class=2: conf_rating=****: curator_summary=GPI anchored protein, highly expressed in reproductive tissues.: 
g41166.t1	AT5G51490.1	no orthogroup BLAST	Note=Plant invertase/pectin methylesterase inhibitor superfamily: conf_class=4: computational_description=Plant invertase/pectin methylesterase inhibitor superfamily: conf_rating=***: symbol=PMEI-PME59: curator_summary=Pectin methylesterase inhibitor INVI-PMEI protein isoform which clustered with a PME.: 
g41167.t1	AT4G23160.2	no orthogroup BLAST	full_name=cysteine-rich RLK (RECEPTOR-like protein kinase) 8: Note=None: curator_summary=Encodes a cysteine-rich receptor-like protein kinase.: conf_class=6: symbol=None: computational_description=cysteine-rich RECEPTOR-like kinase: conf_rating=**: 
g41168.t1	AT3G21000.1	no orthogroup BLAST	Note=Gag-Pol-related retrotransposon family protein: conf_class=1: computational_description=Gag-Pol-related retrotransposon family protein: conf_rating=*****: symbol=None: curator_summary=None: 
g41169.t1	AT5G62300.1	within orthogroup BLAST	Note=Ribosomal protein S10p/S20e family protein: conf_class=2: computational_description=Ribosomal protein S10p/S20e family protein: conf_rating=****: symbol=uS10x: curator_summary=None: 
g41170.t1	AT5G51560.1	1-2-1 orthogroup	Note=Leucine-rich repeat protein kinase family protein: conf_class=4: computational_description=Leucine-rich repeat protein kinase family protein: conf_rating=***: symbol=None: curator_summary=None: 
g41171.t1	AT5G51590.1	1-2-1 orthogroup	Note=AT hook motif DNA-binding family protein: computational_description=AT hook motif DNA-binding family protein: conf_class=2: conf_rating=****: symbol=AHL4: curator_summary=Member of the 29 AT-hook family TFs involved in the development of root xylem.: 
g41172.t1	AT5G51660.1	1-2-1 orthogroup	Note=cleavage and polyadenylation specificity factor 160: symbol=CPSF160: full_name=cleavage and polyadenylation specificity factor 160: computational_description=cleavage and polyadenylation specificity factor 160: conf_class=2: conf_rating=****: curator_summary=None: 
g41173.t1	AT5G51670.1	1-2-1 orthogroup	Note=Protein of unknown function (DUF668): conf_class=5: computational_description=hypothetical protein (DUF668): conf_rating=***: symbol=None: curator_summary=None: 
g41174.t1	AT5G51680.1	1-2-1 orthogroup	Note=hydroxyproline-rich glycoprotein family protein: conf_class=2: computational_description=hydroxyproline-rich glycoprotein family protein: conf_rating=****: symbol=None: curator_summary=None: 
g41175.t1	AT5G51700.1	1-2-1 orthogroup	Note=protein binding: curator_summary=Encodes a resistance signalling protein with two zinc binding (CHORD) domains that are highly conserved across eukaryotic phyla.  Mutant has reduced RPS5 and RPM1 mediated resistance. Potentially involved in transduction of R gene mediated disease resistance. Required for R protein accumulation.: symbol=PBS2: full_name=PPHB SUSCEPTIBLE 2: computational_description=cysteine and histidine-rich domain-containing protein RAR1: conf_class=6: conf_rating=**: 
g41176.t1	AT5G51720.1	1-2-1 orthogroup	Note=2 iron, 2 sulfur cluster binding: curator_summary=Encodes a protein with biochemical, structural, and biophysical characteristics of a NEET protein.  It plays a key role in plant development, senescence, reactive oxygen homeostasis, and Fe metabolism.: symbol=NEET: full_name=NEET group protein: computational_description=2 iron, 2 sulfur cluster binding protein: conf_class=2: conf_rating=****: 
g41177.t1	AT5G51910.1	1-2-1 orthogroup	Note=TCP family transcription factor : computational_description=TCP family transcription factor: conf_class=1: conf_rating=*****: symbol=TCP19: curator_summary=None: conf_class=2: conf_rating=****: 
g41178.t1	AT1G06740.1	no orthogroup BLAST	Note=None: curator_summary=Encodes a member of a domesticated transposable element gene family MUSTANG. Members of this family are derived from transposable elements genes but gained function in plant fitness and flower development. Known members include: AT3G04605 (MUG1), AT2G30640 (MUG2), AT1G06740 (MUG3), AT5G16505 (MUG4), AT3G06940 (MUG5), AT5G48965 (MUG6), AT3G05850 (MUG7) and AT5G34853 (MUG8).: symbol=MUG3: full_name=MUSTANG 3: computational_description=MuDR family transposase: 
g41179.t1	AT5G45570.2	no orthogroup BLAST	Note=Ulp1 protease family protein: conf_class=6: computational_description=Ulp1 protease family protein: conf_rating=**: symbol=None: curator_summary=None: 
g41180.t1	AT4G01560.1	no orthogroup BLAST	Note=Ribosomal RNA processing Brix domain protein: symbol=MEE49: full_name=maternal effect embryo arrest 49: computational_description=Ribosomal RNA processing Brix domain protein: conf_class=2: conf_rating=****: curator_summary=None: 
g41181.t1	AT5G52140.1	within orthogroup BLAST	Note=RING/U-box superfamily protein: computational_description=RING/U-box superfamily protein: conf_class=1: conf_rating=*****: symbol=CTL17: curator_summary=None: 
g41182.t1	AT5G51990.1	1-2-1 orthogroup	Note=C-repeat-binding factor 4: curator_summary=encodes a member of the DREB subfamily A-1 of ERF/AP2 transcription factor family (CBF4). The protein contains one AP2 domain. There are six members in this subfamily, including CBF1, CBF2, and CBF3. This gene is involved in response to drought stress and abscisic acid treatment, but not to low temperature.: symbol=CBF4: full_name=C-repeat-binding factor 4: computational_description=C-repeat-binding factor 4: conf_class=1: conf_rating=*****: 
g41183.t1	AT3G56060.1	within orthogroup BLAST	Note=Glucose-methanol-choline (GMC) oxidoreductase family protein: conf_class=2: computational_description=Glucose-methanol-choline (GMC) oxidoreductase family protein: conf_rating=****: symbol=None: curator_summary=None: 
g41184.t1	AT3G56060.1	within orthogroup BLAST	Note=Glucose-methanol-choline (GMC) oxidoreductase family protein: conf_class=2: computational_description=Glucose-methanol-choline (GMC) oxidoreductase family protein: conf_rating=****: symbol=None: curator_summary=None: 
g41185.t1	AT5G14800.1	no orthogroup BLAST	Note=pyrroline-5- carboxylate (P5C) reductase: curator_summary=Delta 1-pyrroline-5-carboxylate reductase, catalyzes the final step in proline biosynthesis from glutamate and ornithine.In situ hybridization indicated that under normal growth conditions, the highest concentration of P5CR transcripts occurs in the cortical parenchyma, phloem, vascular cambium and pith parenchyma in the vicinity of the protoxylem. Single gene in Arabidopsis.: symbol=P5CR: full_name=pyrroline-5- carboxylate (P5C) reductase: computational_description=pyrroline-5- carboxylate (P5C) reductase: conf_class=2: conf_rating=****: 
g41186.t1	AT4G02480.1	no orthogroup BLAST	Note=AAA-type ATPase family protein: conf_class=2: computational_description=AAA-type ATPase family protein: conf_rating=****: symbol=None: curator_summary=None: 
g41187.t1	AT1G59980.1	1-2-1 orthogroup	Note=ARG1-like 2: symbol=ARL2: full_name=ARG1-like 2: computational_description=ARG1-like 2: conf_class=1: conf_rating=*****: curator_summary=None: 
g41188.t1	AT5G38435.1	no orthogroup BLAST	Note=S-protein homologue 8: curator_summary=self-incompatibility (S) protein homolog, expressed at low levels in floral buds and very low levels in other plant tissues: symbol=SPH8: full_name=S-protein homologue 8: computational_description=S-protein homologue 8: conf_class=1: conf_rating=*****: 
g41189.t1	AT3G42140.1	no orthogroup BLAST	Note=zinc ion binding: conf_class=9: computational_description=zinc ion binding / nucleic acid binding protein: conf_rating=*: symbol=None: curator_summary=None: 
g41190.t1	ATMG00710.1	no orthogroup BLAST	
g41191.t1	AT4G23160.2	no orthogroup BLAST	full_name=cysteine-rich RLK (RECEPTOR-like protein kinase) 8: Note=None: curator_summary=Encodes a cysteine-rich receptor-like protein kinase.: conf_class=6: symbol=None: computational_description=cysteine-rich RECEPTOR-like kinase: conf_rating=**: 
g41192.t1	AT5G51680.1	1-2-1 orthogroup	Note=hydroxyproline-rich glycoprotein family protein: conf_class=2: computational_description=hydroxyproline-rich glycoprotein family protein: conf_rating=****: symbol=None: curator_summary=None: 
g41193.t1	AT5G51700.1	1-2-1 orthogroup	Note=protein binding: curator_summary=Encodes a resistance signalling protein with two zinc binding (CHORD) domains that are highly conserved across eukaryotic phyla.  Mutant has reduced RPS5 and RPM1 mediated resistance. Potentially involved in transduction of R gene mediated disease resistance. Required for R protein accumulation.: symbol=PBS2: full_name=PPHB SUSCEPTIBLE 2: computational_description=cysteine and histidine-rich domain-containing protein RAR1: conf_class=6: conf_rating=**: 
g41194.t1	AT5G51700.1	1-2-1 orthogroup	Note=protein binding: curator_summary=Encodes a resistance signalling protein with two zinc binding (CHORD) domains that are highly conserved across eukaryotic phyla.  Mutant has reduced RPS5 and RPM1 mediated resistance. Potentially involved in transduction of R gene mediated disease resistance. Required for R protein accumulation.: symbol=PBS2: full_name=PPHB SUSCEPTIBLE 2: computational_description=cysteine and histidine-rich domain-containing protein RAR1: conf_class=6: conf_rating=**: 
g41195.t1	AT5G51720.1	1-2-1 orthogroup	Note=2 iron, 2 sulfur cluster binding: curator_summary=Encodes a protein with biochemical, structural, and biophysical characteristics of a NEET protein.  It plays a key role in plant development, senescence, reactive oxygen homeostasis, and Fe metabolism.: symbol=NEET: full_name=NEET group protein: computational_description=2 iron, 2 sulfur cluster binding protein: conf_class=2: conf_rating=****: 
g41196.t1	AT4G01560.1	no orthogroup BLAST	Note=Ribosomal RNA processing Brix domain protein: symbol=MEE49: full_name=maternal effect embryo arrest 49: computational_description=Ribosomal RNA processing Brix domain protein: conf_class=2: conf_rating=****: curator_summary=None: 
g41197.t1	AT5G52140.1	within orthogroup BLAST	Note=RING/U-box superfamily protein: computational_description=RING/U-box superfamily protein: conf_class=1: conf_rating=*****: symbol=CTL17: curator_summary=None: 
g41198.t1	AT5G51990.1	1-2-1 orthogroup	Note=C-repeat-binding factor 4: curator_summary=encodes a member of the DREB subfamily A-1 of ERF/AP2 transcription factor family (CBF4). The protein contains one AP2 domain. There are six members in this subfamily, including CBF1, CBF2, and CBF3. This gene is involved in response to drought stress and abscisic acid treatment, but not to low temperature.: symbol=CBF4: full_name=C-repeat-binding factor 4: computational_description=C-repeat-binding factor 4: conf_class=1: conf_rating=*****: 
g41199.t1	AT3G56060.1	within orthogroup BLAST	Note=Glucose-methanol-choline (GMC) oxidoreductase family protein: conf_class=2: computational_description=Glucose-methanol-choline (GMC) oxidoreductase family protein: conf_rating=****: symbol=None: curator_summary=None: 
g41200.t1	AT5G14800.1	no orthogroup BLAST	Note=pyrroline-5- carboxylate (P5C) reductase: curator_summary=Delta 1-pyrroline-5-carboxylate reductase, catalyzes the final step in proline biosynthesis from glutamate and ornithine.In situ hybridization indicated that under normal growth conditions, the highest concentration of P5CR transcripts occurs in the cortical parenchyma, phloem, vascular cambium and pith parenchyma in the vicinity of the protoxylem. Single gene in Arabidopsis.: symbol=P5CR: full_name=pyrroline-5- carboxylate (P5C) reductase: computational_description=pyrroline-5- carboxylate (P5C) reductase: conf_class=2: conf_rating=****: 
g41201.t1	AT4G02480.1	no orthogroup BLAST	Note=AAA-type ATPase family protein: conf_class=2: computational_description=AAA-type ATPase family protein: conf_rating=****: symbol=None: curator_summary=None: 
g41202.t1	AT1G59980.1	1-2-1 orthogroup	Note=ARG1-like 2: symbol=ARL2: full_name=ARG1-like 2: computational_description=ARG1-like 2: conf_class=1: conf_rating=*****: curator_summary=None: 
g41203.t1	AT4G02760.3	no orthogroup BLAST	Note=RNI-like superfamily protein: conf_class=5: computational_description=RNI-like superfamily protein: conf_rating=***: symbol=None: curator_summary=None: conf_class=6: conf_rating=**: 
g41204.t1	AT3G42140.1	no orthogroup BLAST	Note=zinc ion binding: conf_class=9: computational_description=zinc ion binding / nucleic acid binding protein: conf_rating=*: symbol=None: curator_summary=None: 
g41205.t1	AT4G23160.2	no orthogroup BLAST	full_name=cysteine-rich RLK (RECEPTOR-like protein kinase) 8: Note=None: curator_summary=Encodes a cysteine-rich receptor-like protein kinase.: conf_class=6: symbol=None: computational_description=cysteine-rich RECEPTOR-like kinase: conf_rating=**: 
g41206.t1	AT1G34070.1	no orthogroup BLAST	Note=None: conf_class=4: computational_description=Copia-like polyprotein/retrotransposon: conf_rating=***: symbol=None: curator_summary=None: 
g41207.t1	AT5G52200.1	1-2-1 orthogroup	Note=phosphoprotein phosphatase inhibitors: curator_summary=Encodes an inhibitor of protein phosphatase one (PP1).: symbol=I-2: full_name=inhibitor-2: computational_description=phosphoprotein phosphatase inhibitor: conf_class=2: conf_rating=****: conf_class=6: conf_rating=**: 
g41208.t1	AT5G52210.2	1-2-1 orthogroup	Note=GTP-binding protein 1: curator_summary=A member of ARF-like GTPase family. A thaliana has 21 members, in two subfamilies, ARF and ARF-like (ARL) GTPases.: symbol=GB1: full_name=GTP-binding protein 1: computational_description=GTP-binding protein 1: conf_class=2: conf_rating=****: conf_class=1: conf_rating=*****: 
g41209.t1	AT2G39518.1	within orthogroup BLAST	Note=Uncharacterised protein family (UPF0497): computational_description=Uncharacterized protein family (UPF0497): conf_class=2: conf_rating=****: symbol=CASPL4D2: curator_summary=None: 
g41210.t1	ATMG00860.1	no orthogroup BLAST	
g41211.t1	AT3G30230.1	no orthogroup BLAST	Note=myosin heavy chain-related: conf_class=9: computational_description=myosin heavy chain-like protein: conf_rating=*: symbol=None: curator_summary=None: 
g41212.t1	AT5G52250.1	1-2-1 orthogroup	Note=Transducin/WD40 repeat-like superfamily protein: curator_summary=Encodes a transducin protein whose gene expression is induced by UV-B. This induction is reduced in hy5 mutant and may be a target of HY5 during UV-B response. Functions as a repressor of UV-B signaling.: symbol=RUP1: full_name=REPRESSOR OF UV-B PHOTOMORPHOGENESIS 1: computational_description=Transducin/WD40 repeat-like superfamily protein: conf_class=1: conf_rating=*****: 
g41213.t1	AT2G47470.1	no orthogroup BLAST	Note=thioredoxin family protein: curator_summary=Encodes a protein disulfide isomerase-like (PDIL) protein, a member of a multigene family within the thioredoxin (TRX) superfamily. Transcript levels for this gene are up-regulated in response to three different chemical inducers of ER stress (dithiothreitol, beta-mercaptoethanol, and tunicamycin). AtIRE1-2 does not appear to be required for this response, but the atbzip60 mutant has a diminished response. The mRNA is cell-to-cell mobile.: symbol=UNE5: full_name=UNFERTILIZED EMBRYO SAC 5: computational_description=thioredoxin family protein: conf_class=2: conf_rating=****: 
g41214.t1	AT5G42905.1	no orthogroup BLAST	Note=Polynucleotidyl transferase, ribonuclease H-like superfamily protein: conf_class=9: computational_description=Polynucleotidyl transferase, ribonuclease H-like superfamily protein: conf_rating=*: symbol=None: curator_summary=None: 
g41215.t1	AT1G43760.1	no orthogroup BLAST	Note=DNAse I-like superfamily protein: conf_class=9: computational_description=DNAse I-like superfamily protein: conf_rating=*: symbol=None: curator_summary=None: 
g41216.t1	AT2G01050.1	no orthogroup BLAST	Note=zinc ion binding: conf_class=9: computational_description=zinc ion binding / nucleic acid binding protein: conf_rating=*: symbol=None: curator_summary=None: 
g41217.t1	AT5G52260.1	no orthogroup BLAST	Note=myb domain protein 19: curator_summary=Member of the R2R3 factor gene family.: symbol=MYB19: full_name=myb domain protein 19: computational_description=myb domain protein 19: conf_class=2: conf_rating=****: 
g41218.t1	AT1G48285.1	no orthogroup BLAST	Note=None: symbol=None: computational_description=GRF zinc finger protein: curator_summary=: 
g41219.t1	AT5G52300.1	within orthogroup BLAST	Note=CAP160 protein: curator_summary=Encodes a protein that is induced in expression in response to water deprivation such as cold, high-salt, and desiccation. The response appears to be via abscisic acid. The promoter region contains two ABA-responsive elements (ABREs) that are required for the dehydration-responsive expression of rd29B as cis-acting elements. Protein is a member of a gene family with other members found plants, animals and fungi. Upregulation by P. polymyxa CR1 increases drought resistance.: symbol=LTI65: full_name=LOW-TEMPERATURE-INDUCED 65: computational_description=CAP160 protein: conf_class=2: conf_rating=****: conf_class=3: 
g41220.t1	AT5G52360.1	within orthogroup BLAST	Note=actin depolymerizing factor 10: symbol=ADF10: full_name=actin depolymerizing factor 10: computational_description=actin depolymerizing factor 10: conf_class=2: conf_rating=****: curator_summary=ADF10 is an actin-depolymerizing factor that preferentially binds ADP-G-actin and inhibits G-actin nucleotide exchange. ADF10 promotes actin turnover in pollen , regulating organization of actin filaments and vesicle trafficking during pollen tube growth.: 
g41221.t1	AT5G52400.1	1-2-1 orthogroup	Note=cytochrome P450, family 715, subfamily A, polypeptide 1: curator_summary=member of CYP715A: symbol=CYP715A1: full_name=cytochrome P450, family 715, subfamily A, polypeptide 1: computational_description=cytochrome P450, family 715, subfamily A, polypeptide 1: conf_class=4: conf_rating=***: 
g41222.t1	AT5G52420.1	1-2-1 orthogroup	Note=None: computational_description=transmembrane protein: conf_class=1: conf_rating=*****: symbol=PRCE3: curator_summary=None: 
g41223.t1	AT5G52430.1	1-2-1 orthogroup	Note=hydroxyproline-rich glycoprotein family protein: conf_class=2: computational_description=hydroxyproline-rich glycoprotein family protein: conf_rating=****: symbol=None: curator_summary=None: 
g41224.t1	AT5G52450.1	within orthogroup RBH	Note=MATE efflux family protein: conf_class=2: computational_description=MATE efflux family protein: conf_rating=****: symbol=None: curator_summary=None: 
g41225.t1	AT5G52510.1	1-2-1 orthogroup	Note=SCARECROW-like 8: symbol=SCL8: full_name=SCARECROW-like 8: computational_description=SCARECROW-like 8: conf_class=1: conf_rating=*****: curator_summary=Transcription factor member of the GRAS family of regulatory proteins target of GL1/3 involved in trichome formation.: 
g41226.t1	AT5G52520.1	1-2-1 orthogroup	Note=Class II aaRS and biotin synthetases superfamily protein: symbol=OVA6: full_name=OVULE ABORTION 6: computational_description=Class II aaRS and biotin synthetases superfamily protein: conf_class=1: conf_rating=*****: curator_summary=Encodes a chloroplast and mitochondria localized prolyl-tRNA synthetase.: 
g41227.t1	AT5G52600.1	1-2-1 orthogroup	Note=myb domain protein 82: curator_summary=Encodes a nuclear-localized transcription activator that is a member of the R2R3 factor gene family. MYB82 and GL1 can form homodimers and heterodimers at R2R3-MYB domains.  At least one of the two introns in MYB82 is essential to the protein?s trichome developmental function.: symbol=MYB82: full_name=myb domain protein 82: computational_description=myb domain protein 82: conf_class=2: conf_rating=****: 
g41228.t1	AT4G25740.1	within orthogroup BLAST	Note=RNA binding Plectin/S10 domain-containing protein: conf_class=2: computational_description=RNA binding Plectin/S10 domain-containing protein: conf_rating=****: symbol=eS10z: curator_summary=None: conf_class=6: conf_rating=**: 
g41229.t1	AT4G19190.1	no orthogroup BLAST	Note=zinc knuckle (CCHC-type) family protein: conf_class=2: computational_description=zinc knuckle (CCHC-type) family protein: conf_rating=****: symbol=None: curator_summary=None: 
g41230.t1	AT5G65683.1	no orthogroup BLAST	Note=Zinc finger (C3HC4-type RING finger) family protein: symbol=WAVH2: full_name=WAV3 homolog 2: computational_description=Zinc finger (C3HC4-type RING finger) family protein: conf_class=1: conf_rating=*****: curator_summary=None: 
g41231.t1	AT1G30800.1	no orthogroup BLAST	Note=Fasciclin-like arabinogalactan family protein: conf_class=1: computational_description=Fasciclin-like arabinogalactan family protein: conf_rating=*****: symbol=None: curator_summary=None: 
g41232.t1	AT2G23840.1	1-2-1 orthogroup	Note=HNH endonuclease: conf_class=2: computational_description=HNH endonuclease: conf_rating=****: symbol=None: curator_summary=None: 
g41233.t1	AT3G01415.1	within orthogroup BLAST	Note=None: symbol=None: computational_description=tubulin-tyrosine ligase: curator_summary=: 
g41234.t1	AT2G03550.1	1-2-1 orthogroup	Note=alpha/beta-Hydrolases superfamily protein: conf_class=1: computational_description=alpha/beta-Hydrolases superfamily protein: conf_rating=*****: symbol=None: curator_summary=None: 
g41235.t1	AT5G44210.1	no orthogroup BLAST	Note=erf domain protein 9: curator_summary=encodes a member of the ERF (ethylene response factor) subfamily B-1 of ERF/AP2 transcription factor family (ATERF-9). The protein contains one AP2 domain. There are 15 members in this subfamily including ATERF-3, ATERF-4, ATERF-7, and leafy petiole.: symbol=ERF9: full_name=erf domain protein 9: computational_description=erf domain protein 9: conf_class=1: conf_rating=*****: 
g41236.t1	AT5G52740.1	1-2-1 orthogroup	Note=Copper transport protein family: conf_class=8: computational_description=Copper transport protein family: conf_rating=*: symbol=None: curator_summary=None: 
g41237.t1	AT5G52760.1	within orthogroup BLAST	Note=Copper transport protein family: conf_class=2: computational_description=Copper transport protein family: conf_rating=****: symbol=None: curator_summary=None: 
g41238.t1	ATMG00300.1	1-2-1 orthogroup	
g41239.t1	ATMG00300.1	1-2-1 orthogroup	
g41240.t1	AT4G23160.2	no orthogroup BLAST	full_name=cysteine-rich RLK (RECEPTOR-like protein kinase) 8: Note=None: curator_summary=Encodes a cysteine-rich receptor-like protein kinase.: conf_class=6: symbol=None: computational_description=cysteine-rich RECEPTOR-like kinase: conf_rating=**: 
g41241.t1	AT5G52870.1	1-2-1 orthogroup	Note=None: curator_summary=Encodes a member of the MAKR (MEMBRANE-ASSOCIATED KINASE REGULATOR)  gene family. MAKRs have putative kinase interacting motifs and membrane localization signals. Known members include: AT5G26230 (MAKR1), AT1G64080 (MAKR2), AT2G37380 (MAKR3), AT2G39370 (MAKR4), AT5G52870 (MAKR5) and AT5G52900 (MAKR6).: symbol=MAKR5: full_name=MEMBRANE-ASSOCIATED KINASE REGULATOR 5: computational_description=membrane-associated kinase regulator: conf_class=2: conf_rating=****: 
g41242.t1	AT5G52880.1	1-2-1 orthogroup	Note=F-box family protein: conf_class=2: computational_description=F-box family protein: conf_rating=****: symbol=None: curator_summary=None: 
g41243.t1	AT1G63350.2	no orthogroup BLAST	Note=None: conf_class=8: computational_description=Disease resistance protein (CC-NBS-LRR class) family: conf_rating=*: symbol=None: curator_summary=: 
g41244.t1	AT3G20935.1	no orthogroup BLAST	Note=cytochrome P450, family 705, subfamily A, polypeptide 28: symbol=CYP705A28: full_name=cytochrome P450, family 705, subfamily A, polypeptide 28: computational_description=cytochrome P450, family 705, subfamily A, polypeptide 28: conf_class=3: conf_rating=****: curator_summary=None: 
g41245.t1	AT2G06105.1	no orthogroup BLAST	Note=None: symbol=None: computational_description=aspartyl protease gag-polyprotein: curator_summary=: 
g41246.t1	AT5G52910.2	1-2-1 orthogroup	full_name=TIMELESS: Note=None: curator_summary=homolog of Drosophila timeless: conf_class=6: symbol=None: computational_description=timeless family protein: conf_rating=**: 
g41247.t1	AT5G52920.1	1-2-1 orthogroup	Note=plastidic pyruvate kinase beta subunit 1: curator_summary=encodes a dominant chloroplast pyruvate kinase beta subunit. Important for seed oil biosynthesis. Ubiquitously expressed, with significantly increased expression in maturing seeds. The mutant plant has wrinkled seeds, with a 50-70% reduction in seed fatty acid content. The mRNA is cell-to-cell mobile.: symbol=PKP-BETA1: full_name=plastidic pyruvate kinase beta subunit 1: computational_description=plastidic pyruvate kinase beta subunit 1: conf_class=2: conf_rating=****: 
g41248.t1	AT5G52950.1	no orthogroup BLAST	Note=None: conf_class=4: computational_description=LIM domain protein: conf_rating=***: symbol=None: curator_summary=None: 
g41249.t1	AT5G52950.1	1-2-1 orthogroup	Note=None: conf_class=4: computational_description=LIM domain protein: conf_rating=***: symbol=None: curator_summary=None: 
g41250.t1	AT5G52960.1	1-2-1 orthogroup	Note=None: conf_class=2: computational_description=tRNA dimethylallyltransferase: conf_rating=****: symbol=DUF3143: curator_summary=Interacts with chloroplast chaperone CLPC1, which unfolds and delivers substrates to the stromal CLPPRT protease complex for degradation.: 
g41251.t1	AT5G52980.1	no orthogroup BLAST	Note=None: conf_class=1: computational_description=ER-based factor for assembly of V-ATPase: conf_rating=*****: symbol=None: curator_summary=None: 
g41252.t1	AT5G52990.1	within orthogroup BLAST	Note=SNARE-like superfamily protein: conf_class=1: computational_description=SNARE-like superfamily protein: conf_rating=*****: symbol=None: curator_summary=None: 
g41253.t1	AT5G53020.6	1-2-1 orthogroup	Note=None: conf_class=2: computational_description=Ribonuclease P protein subunit P38-like protein: conf_rating=****: symbol=None: curator_summary=: 
